index,Teamname,match_id,timestamp,minute,second,type.name,shot.end_location.x,GoalWidth,GoalHeight,shot.outcome.name,DistToGoal,goal
3873,Australia Women's,3902968,00:19:05.499,139,5,Shot,120,42.2,0.2,Goal,12,TRUE
3202,Spain Women's,3904628,00:35:28.154,80,28,Shot,120,43.4,0.3,Goal,11.0602893271379,TRUE
3290,Sweden Women's,3904628,00:42:24.846,87,24,Shot,120,41.6,1.6,Goal,9.88433103452126,TRUE
3303,Spain Women's,3904628,00:43:59.274,88,59,Shot,120,40.4,2.1,Goal,22.8895172513533,TRUE
1301,England Women's,3904629,00:35:35.762,35,35,Shot,120,43.2,2,Goal,18.0479915780122,TRUE
2348,Australia Women's,3904629,00:17:25.674,62,25,Shot,120,37.1,1.8,Goal,25.3001976276866,TRUE
2528,England Women's,3904629,00:25:18.578,70,18,Shot,120,42.7,0.7,Goal,11.9553335377981,TRUE
2897,England Women's,3904629,00:40:43.741,85,43,Shot,120,36.9,0.8,Goal,15.9790487827029,TRUE
990,Sweden Women's,3906389,00:29:10.378,29,10,Shot,120,43.5,0.3,Goal,12,TRUE
2301,Sweden Women's,3906389,00:16:39.142,61,39,Shot,120,43.6,1,Goal,19.4941016720443,TRUE
1165,Spain Women's,3906390,00:28:29.842,28,29,Shot,120,43.5,0.2,Goal,20.1658126540936,TRUE
