Index,"Region, development group, country or area of destination",Coverage,Data type,Location code of destination,"Region, development group, country or area of origin",Location code of origin,1990,1995,2000,2005,2010,2015,2020,2024
287,Sub-Saharan Africa,,,1834,World,900,13 802 710,14 578 211,13 518 102,14 849 146,15 787 016,20 399 360,22 040 895,24 306 400
288,Sub-Saharan Africa,,,1834,Sub-Saharan Africa,1834,11 007 568,12 012 007,10 906 522,11 689 672,12 692 139,15 919 484,18 164 495,19 564 204
289,Sub-Saharan Africa,,,1834,Northern Africa and Western Asia,1833,202 330,359 813,419 821,678 898,513 008,1 147 483,1 262 939,2 073 396
290,Sub-Saharan Africa,,,1834,Central and Southern Asia,1831,36 180,41 137,52 282,95 066,114 009,148 310,171 284,146 968
291,Sub-Saharan Africa,,,1834,Eastern and South-Eastern Asia,1832,26 214,27 909,36 844,44 714,81 016,103 615,83 201,73 516
292,Sub-Saharan Africa,,,1834,Latin America and the Caribbean,1830,7 358,7 705,7 365,7 463,13 641,22 594,23 815,25 119
293,Sub-Saharan Africa,,,1834,Oceania (excluding Australia and New Zealand),1835,190,148,155,219,971,2 411,3 016,3 553
294,Sub-Saharan Africa,,,1834,Australia/New Zealand,1836,7 182,6 393,5 710,5 487,5 611,5 444,5 408,5 566
295,Sub-Saharan Africa,,,1834,Europe and Northern America,1829,503 931,445 693,443 252,434 212,428 234,418 863,409 905,412 244
296,Sub-Saharan Africa,,,1834,More developed regions,901,512 200,453 045,449 983,440 790,435 523,425 942,416 902,419 532
297,Sub-Saharan Africa,,,1834,Less developed regions,902,11 278 753,12 447 760,11 421 968,12 514 941,13 413 106,17 342 262,19 707 161,21 885 034
298,Sub-Saharan Africa,,,1834,Least developed countries,941,9 749 423,10 771 835,9 551 572,10 031 387,10 247 357,13 422 546,15 412 644,17 315 114
299,Sub-Saharan Africa,,,1834,"Less developed regions, excluding least developed countries",934,1 529 330,1 675 925,1 870 396,2 483 554,3 165 749,3 919 716,4 294 517,4 569 920
300,Sub-Saharan Africa,,,1834,"Less developed regions, excluding China",948,11 261 873,12 428 969,11 394 479,12 479 447,13 344 593,17 252 448,19 637 664,21 825 939
301,Sub-Saharan Africa,,,1834,Land-locked Developing Countries (LLDC),1636,4 504 779,6 009 456,4 852 330,5 275 086,5 766 424,7 803 734,9 356 021,10 041 964
302,Sub-Saharan Africa,,,1834,Small Island Developing States (SIDS),1637,92 639,112 638,136 190,161 517,184 100,206 111,237 944,270 066
303,Sub-Saharan Africa,,,1834,High-and-upper-middle-income countries,5503,742 307,687 578,727 565,754 595,795 130,855 577,841 168,849 181
304,Sub-Saharan Africa,,,1834,Low-and-Lower-middle-income countries,5504,11 048 224,12 212 910,11 144 050,12 200 678,13 026 063,16 882 871,19 250 191,21 420 149
305,Sub-Saharan Africa,,,1834,High-income countries,1503,531 317,476 023,473 949,467 959,470 953,467 409,461 318,467 280
306,Sub-Saharan Africa,,,1834,Low-and-middle-income countries,1859,11 259 214,12 424 465,11 397 666,12 487 314,13 350 240,17 271 039,19 630 041,21 802 050
307,Sub-Saharan Africa,,,1834,Middle-income countries,1517,3 437 849,3 537 334,3 945 742,4 553 249,5 246 972,6 073 075,6 598 495,7 010 333
308,Sub-Saharan Africa,,,1834,Upper-middle-income countries,1502,210 990,211 555,253 616,286 636,324 177,388 168,379 850,381 901
309,Sub-Saharan Africa,,,1834,Lower-middle-income countries,1501,3 226 859,3 325 779,3 692 126,4 266 613,4 922 795,5 684 907,6 218 645,6 628 432
310,Sub-Saharan Africa,,,1834,Low-income countries,1500,7 821 365,8 887 131,7 451 924,7 934 065,8 103 268,11 197 964,13 031 546,14 791 717
311,Sub-Saharan Africa,,,1834,No income group available,1518,422,317,336,458,26 676,28 821,31 608,34 006
312,Sub-Saharan Africa,,,1834,AFRICA,903,11 191 152,12 353 767,11 308 262,12 353 913,13 185 924,17 033 013,19 384 236,21 587 670
313,Sub-Saharan Africa,,,1834,Eastern Africa,910,5 230 456,5 339 653,3 752 381,3 714 090,4 172 493,5 813 626,6 945 307,7 547 389
314,Sub-Saharan Africa,,,1834,Burundi,108,339 248,544 854,795 350,640 126,273 621,422 725,523 431,538 151
315,Sub-Saharan Africa,,,1834,Comoros,174,19 313,28 911,46 472,61 580,69 337,78 054,102 638,128 602
316,Sub-Saharan Africa,,,1834,Djibouti,262,975,18 802,2 300,796,788,779,745,1 379
317,Sub-Saharan Africa,,,1834,Eritrea,232,64 278,49 337,29 318,21 500,52 295,157 986,194 336,227 040
318,Sub-Saharan Africa,,,1834,Ethiopia,231,501 724,59 643,33 760,46 213,105 618,149 949,200 492,200 987
319,Sub-Saharan Africa,,,1834,Kenya,404,75 295,85 664,83 909,98 806,106 228,108 164,106 067,107 510
320,Sub-Saharan Africa,,,1834,Madagascar,450,15 903,21 001,27 261,31 560,34 553,36 148,38 952,41 792
321,Sub-Saharan Africa,,,1834,Malawi,454,137 769,133 649,166 895,214 908,257 714,305 021,370 347,424 739
322,Sub-Saharan Africa,,,1834,Mauritius,480,6 668,8 264,8 814,9 377,8 762,8 436,8 089,8 247
323,Sub-Saharan Africa,,,1834,Mayotte,175,1 800,3 893,6 162,6 410,6 294,6 507,6 740,6 933
324,Sub-Saharan Africa,,,1834,Mozambique,508,1 912 232,685 416,571 888,562 837,589 994,597 358,603 616,606 988
325,Sub-Saharan Africa,,,1834,Réunion,638,2 986,2 587,1 879,1 358,1 080,958,899,893
326,Sub-Saharan Africa,,,1834,Rwanda,646,579 869,2 103 655,337 470,279 137,314 238,472 341,459 224,508 207
327,Sub-Saharan Africa,,,1834,Seychelles,690,6 955,9 389,10 761,14 563,16 408,17 065,17 889,18 671
328,Sub-Saharan Africa,,,1834,Somalia,706,508 013,585 792,436 649,360 398,624 521,953 189,828 432,1 004 109
329,Sub-Saharan Africa,,,1834,South Sudan,728,469 191,256 478,273 844,200 890,92 585,566 095,1 456 853,1 589 436
330,Sub-Saharan Africa,,,1834,Uganda,800,159 948,223 060,383 693,434 783,561 008,595 059,558 216,546 607
331,Sub-Saharan Africa,,,1834,United Republic of Tanzania,834,168 172,182 469,162 865,170 444,171 992,173 162,169 216,169 439
332,Sub-Saharan Africa,,,1834,Zambia,894,69 439,110 802,119 029,126 432,125 348,117 726,110 616,109 527
333,Sub-Saharan Africa,,,1834,Zimbabwe,716,190 678,225 987,254 062,431 972,760 109,1 046 904,1 188 509,1 308 132
334,Sub-Saharan Africa,,,1834,Middle Africa,911,1 233 824,1 216 078,1 732 063,1 896 019,2 059 399,2 742 132,3 271 741,3 578 793
335,Sub-Saharan Africa,,,1834,Angola,24,649 453,491 718,688 523,479 472,425 317,344 095,344 159,383 419
336,Sub-Saharan Africa,,,1834,Cameroon,120,63 197,72 098,83 091,87 554,102 606,126 648,162 859,174 945
337,Sub-Saharan Africa,,,1834,Central African Republic,140,19 145,21 108,26 208,94 127,211 736,651 835,767 522,859 699
338,Sub-Saharan Africa,,,1834,Chad,148,123 318,120 656,118 346,114 053,104 315,96 567,96 316,103 490
339,Sub-Saharan Africa,,,1834,Congo,178,34 218,46 186,60 479,88 468,87 471,107 932,116 103,118 780
340,Sub-Saharan Africa,,,1834,Democratic Republic of the Congo,180,302 346,410 391,689 887,944 949,1 037 153,1 284 326,1 642 408,1 786 123
341,Sub-Saharan Africa,,,1834,Equatorial Guinea,226,27 732,36 868,46 102,53 170,61 609,96 124,104 343,111 472
342,Sub-Saharan Africa,,,1834,Gabon,266,6 331,7 009,7 436,21 422,15 382,18 868,20 890,22 765
343,Sub-Saharan Africa,,,1834,Sao Tome and Principe,678,8 084,10 044,11 991,12 804,13 810,15 737,17 141,18 100
344,Sub-Saharan Africa,,,1834,Northern Africa,912,183 584,341 760,401 740,664 241,493 785,1 113 529,1 219 741,2 023 466
345,Sub-Saharan Africa,,,1834,Algeria,12,6 966,7 103,6 871,8 825,7 196,15 462,15 682,15 813
346,Sub-Saharan Africa,,,1834,Egypt,818,3 397,2 593,2 494,3 821,9 305,9 949,9 511,9 725
347,Sub-Saharan Africa,,,1834,Libya,434,1 500,1 590,1 720,1 358,2 584,3 143,3 601,4 042
348,Sub-Saharan Africa,,,1834,Morocco,504,4 067,4 422,4 280,4 665,5 781,6 772,7 013,7 296
349,Sub-Saharan Africa,,,1834,Sudan,729,167 352,325 711,386 004,645 189,442 573,1 049 142,1 152 108,1 952 361
350,Sub-Saharan Africa,,,1834,Tunisia,788,290,329,359,372,318,985,1 003,1 024
351,Sub-Saharan Africa,,,1834,Western Sahara,732,12,12,12,11,26 028,28 076,30 823,33 205
352,Sub-Saharan Africa,,,1834,Southern Africa,913,302 738,278 494,300 150,324 091,345 288,364 812,390 024,406 650
353,Sub-Saharan Africa,,,1834,Botswana,72,23 779,17 189,21 315,20 976,18 499,16 576,15 527,14 684
354,Sub-Saharan Africa,,,1834,Eswatini,748,31 117,27 897,29 357,32 603,36 332,27 298,17 888,10 331
355,Sub-Saharan Africa,,,1834,Lesotho,426,130 160,122 086,121 099,138 786,161 819,191 371,224 591,246 719
356,Sub-Saharan Africa,,,1834,Namibia,516,45 551,36 587,44 338,46 736,44 168,41 968,40 085,37 944
357,Sub-Saharan Africa,,,1834,South Africa,710,72 131,74 735,84 041,84 990,84 470,87 599,91 933,96 972
358,Sub-Saharan Africa,,,1834,Western Africa,914,4 240 550,5 177 782,5 121 928,5 755 472,6 114 959,6 998 914,7 557 423,8 031 372
359,Sub-Saharan Africa,,,1834,Benin,204,215 906,254 286,307 207,477 223,511 900,602 899,646 102,690 990
360,Sub-Saharan Africa,,,1834,Burkina Faso,854,1 014 998,1 150 619,1 295 230,1 438 016,1 592 230,1 748 564,1 904 780,2 033 940
361,Sub-Saharan Africa,,,1834,Cabo Verde,132,10 796,11 532,11 893,14 289,15 958,17 185,17 815,18 208
362,Sub-Saharan Africa,,,1834,Côte d'Ivoire,384,315 537,386 028,462 761,601 688,779 737,869 074,921 171,965 618
363,Sub-Saharan Africa,,,1834,Gambia,270,13 189,13 746,13 194,12 231,11 983,12 717,12 638,12 860
364,Sub-Saharan Africa,,,1834,Ghana,288,266 079,267 176,270 465,376 073,394 445,448 886,468 321,486 941
365,Sub-Saharan Africa,,,1834,Guinea,324,322 316,327 393,325 125,313 126,331 833,343 944,355 925,359 753
366,Sub-Saharan Africa,,,1834,Guinea-Bissau,624,38 169,41 789,43 251,45 828,51 231,54 060,56 960,59 179
367,Sub-Saharan Africa,,,1834,Liberia,430,512 504,530 582,235 500,311 075,143 974,106 367,101 510,99 431
368,Sub-Saharan Africa,,,1834,Mali,466,552 084,702 902,658 079,745 878,800 521,1 004 498,1 043 996,1 106 592
369,Sub-Saharan Africa,,,1834,Mauritania,478,108 736,124 518,78 313,65 674,68 332,67 270,79 107,83 465
370,Sub-Saharan Africa,,,1834,Niger,562,162 104,188 673,218 338,315 747,348 164,387 515,412 390,434 081
371,Sub-Saharan Africa,,,1834,Nigeria,566,245 359,247 642,255 503,326 149,370 211,551 366,679 724,762 430
372,Sub-Saharan Africa,,,1834,Senegal,686,238 068,215 714,237 885,240 091,245 031,256 331,278 203,296 904
373,Sub-Saharan Africa,,,1834,Sierra Leone,694,41 162,421 991,457 701,84 951,50 650,50 353,53 872,52 090
374,Sub-Saharan Africa,,,1834,Togo,768,183 543,293 191,251 483,387 433,398 759,477 885,524 909,568 890
375,Sub-Saharan Africa,,,1834,ASIA,935,81 140,87 099,107 207,154 437,214 248,285 879,297 683,270 414
376,Sub-Saharan Africa,,,1834,Central Asia,5500,0..,0..,0..,0..,1 488,1 832,2 146,2 409
377,Sub-Saharan Africa,,,1834,Kazakhstan,398,0..,0..,0..,0..,1 488,1 830,2 146,2 409
378,Sub-Saharan Africa,,,1834,Tajikistan,762,0..,0..,0..,0..,0..,1,0..,0..
379,Sub-Saharan Africa,,,1834,Uzbekistan,860,0..,0..,0..,0..,0..,1,0..,0..
380,Sub-Saharan Africa,,,1834,Eastern Asia,906,23 454,24 599,32 733,40 258,74 795,96 802,76 190,66 133
381,Sub-Saharan Africa,,,1834,China,156,10 938,13 444,22 761,31 320,64 817,86 744,66 970,56 621
382,Sub-Saharan Africa,,,1834,"China, Hong Kong SAR",344,1 658,1 370,1 071,825,642,606,610,598
383,Sub-Saharan Africa,,,1834,"China, Taiwan Province of China",158,4 284,3 977,3 657,3 349,3 054,2 464,1 917,1 876
384,Sub-Saharan Africa,,,1834,Dem. People's Republic of Korea,408,2 698,2 317,1 948,1 550,2 609,3 680,3 688,3 910
385,Sub-Saharan Africa,,,1834,Japan,392,1 087,959,1 021,1 091,1 678,1 635,1 589,1 722
386,Sub-Saharan Africa,,,1834,Republic of Korea,410,2 789,2 532,2 275,2 123,1 995,1 673,1 416,1 406
387,Sub-Saharan Africa,,,1834,Southern Asia,5501,36 180,41 137,52 282,95 066,112 521,146 478,169 138,144 559
388,Sub-Saharan Africa,,,1834,Afghanistan,4,76,73,84,188,736,1 284,2 533,3 579
389,Sub-Saharan Africa,,,1834,Bangladesh,50,142,321,807,12 350,20 896,36 509,56 491,39 386
390,Sub-Saharan Africa,,,1834,Bhutan,64,0..,0..,0..,0..,0..,3,1,1
391,Sub-Saharan Africa,,,1834,India,356,31 665,35 214,43 169,59 854,69 630,77 792,77 487,76 163
392,Sub-Saharan Africa,,,1834,Iran (Islamic Republic of),364,1 149,1 044,942,870,728,629,528,531
393,Sub-Saharan Africa,,,1834,Maldives,462,2,1,1,17,34,38,37,38
394,Sub-Saharan Africa,,,1834,Nepal,524,38,36,87,185,280,488,565,571
395,Sub-Saharan Africa,,,1834,Pakistan,586,2 129,3 230,5 636,19 057,17 323,26 587,28 365,21 100
396,Sub-Saharan Africa,,,1834,Sri Lanka,144,979,1 218,1 556,2 545,2 894,3 148,3 131,3 190
397,Sub-Saharan Africa,,,1834,South-Eastern Asia,920,2 760,3 310,4 111,4 456,6 221,6 813,7 011,7 383
398,Sub-Saharan Africa,,,1834,Cambodia,116,0..,0..,0..,0..,0..,9,7,7
399,Sub-Saharan Africa,,,1834,Indonesia,360,924,974,1 027,903,805,788,774,777
400,Sub-Saharan Africa,,,1834,Malaysia,458,492,485,498,561,662,651,591,589
401,Sub-Saharan Africa,,,1834,Myanmar,104,144,123,105,129,180,263,357,437
402,Sub-Saharan Africa,,,1834,Philippines,608,835,1 083,1 333,1 485,1 681,1 801,1 834,1 861
403,Sub-Saharan Africa,,,1834,Singapore,702,216,257,316,360,1 059,1 250,1 433,1 571
404,Sub-Saharan Africa,,,1834,Thailand,764,126,361,797,943,1 715,1 846,1 674,1 696
405,Sub-Saharan Africa,,,1834,Timor-Leste,626,11,14,17,13,8,8,7,7
406,Sub-Saharan Africa,,,1834,Viet Nam,704,12,13,18,62,111,197,334,438
407,Sub-Saharan Africa,,,1834,Western Asia,922,18 746,18 053,18 081,14 657,19 223,33 954,43 198,49 930
408,Sub-Saharan Africa,,,1834,Armenia,51,94,89,84,66,63,70,71,75
409,Sub-Saharan Africa,,,1834,Azerbaijan,31,0..,0..,0..,0..,0..,5,3,3
410,Sub-Saharan Africa,,,1834,Bahrain,48,72,68,65,51,49,50,50,53
411,Sub-Saharan Africa,,,1834,Cyprus,196,2 773,2 035,1 898,1 697,1 442,1 022,689,667
412,Sub-Saharan Africa,,,1834,Iraq,368,77,82,84,85,95,112,122,131
413,Sub-Saharan Africa,,,1834,Israel,376,2 799,2 395,2 289,2 322,3 453,3 177,2 881,3 056
414,Sub-Saharan Africa,,,1834,Jordan,400,0..,0..,0..,0..,0..,2,0..,0..
415,Sub-Saharan Africa,,,1834,Kuwait,414,29,30,31,32,22,31,33,35
416,Sub-Saharan Africa,,,1834,Lebanon,422,9 454,9 672,9 987,6 706,6 560,7 985,8 048,8 238
417,Sub-Saharan Africa,,,1834,Saudi Arabia,682,2 195,2 441,2 218,2 060,3 189,3 632,4 049,4 380
418,Sub-Saharan Africa,,,1834,State of Palestine,275,135,144,148,150,112,161,175,188
419,Sub-Saharan Africa,,,1834,Syrian Arab Republic,760,201,216,229,233,173,424,1 117,1 430
420,Sub-Saharan Africa,,,1834,Türkiye,792,542,521,620,793,1 023,950,840,838
421,Sub-Saharan Africa,,,1834,United Arab Emirates,784,74,79,114,197,2 728,3 457,4 220,4 830
422,Sub-Saharan Africa,,,1834,Yemen,887,301,281,314,265,314,12 876,20 900,26 006
423,Sub-Saharan Africa,,,1834,EUROPE,908,484 699,426 557,423 480,413 588,407 659,396 824,386 048,386 464
424,Sub-Saharan Africa,,,1834,Eastern Europe,923,18 221,16 059,15 072,14 450,15 713,13 564,11 068,11 103
425,Sub-Saharan Africa,,,1834,Bulgaria,100,345,663,1 597,1 868,1 667,1 232,819,799
426,Sub-Saharan Africa,,,1834,Czechia,203,1 602,1 310,1 075,868,715,614,534,535
427,Sub-Saharan Africa,,,1834,Hungary,348,1 492,1 150,464,466,698,679,529,525
428,Sub-Saharan Africa,,,1834,Poland,616,5 806,5 358,4 392,4 643,5 411,3 696,2 142,2 093
429,Sub-Saharan Africa,,,1834,Republic of Moldova*,498,0..,0..,0..,0..,0..,3,1,1
430,Sub-Saharan Africa,,,1834,Romania,642,574,636,706,774,848,668,468,460
431,Sub-Saharan Africa,,,1834,Russian Federation,643,5 452,4 286,4 478,3 985,4 909,5 470,5 561,5 675
432,Sub-Saharan Africa,,,1834,Slovakia,703,279,257,236,210,187,165,148,146
433,Sub-Saharan Africa,,,1834,Ukraine*,804,2 671,2 399,2 124,1 636,1 278,1 037,866,869
434,Sub-Saharan Africa,,,1834,Northern Europe,924,217 090,170 767,154 083,135 263,115 648,104 528,95 028,87 341
435,Sub-Saharan Africa,,,1834,Denmark*,208,1 280,1 129,1 185,1 184,1 155,1 162,1 126,1 143
436,Sub-Saharan Africa,,,1834,Estonia,233,12,12,12,65,122,233,408,529
437,Sub-Saharan Africa,,,1834,Finland*,246,577,563,415,356,358,367,375,378
438,Sub-Saharan Africa,,,1834,Iceland,352,12,12,13,104,354,329,187,189
439,Sub-Saharan Africa,,,1834,Ireland,372,6 622,5 824,5 151,4 668,4 275,3 780,3 368,3 361
440,Sub-Saharan Africa,,,1834,Latvia,428,265,229,194,146,104,97,74,71
441,Sub-Saharan Africa,,,1834,Lithuania,440,250,227,206,180,156,135,117,115
442,Sub-Saharan Africa,,,1834,Norway*,578,739,689,654,689,738,716,699,719
443,Sub-Saharan Africa,,,1834,Sweden,752,1 792,1 602,1 494,1 102,1 360,1 560,1 458,1 459
444,Sub-Saharan Africa,,,1834,United Kingdom*,826,205 541,160 480,144 759,126 769,107 026,96 149,87 216,79 377
445,Sub-Saharan Africa,,,1834,Southern Europe,925,60 996,48 814,51 887,52 812,54 245,48 755,43 044,41 257
446,Sub-Saharan Africa,,,1834,Albania,8,110,51,24,30,1 083,1 375,1 673,1 915
447,Sub-Saharan Africa,,,1834,Andorra,20,0..,0..,0..,0..,835,1 033,1 208,1 355
448,Sub-Saharan Africa,,,1834,Bosnia and Herzegovina,70,724,538,595,818,1 170,1 317,1 386,1 445
449,Sub-Saharan Africa,,,1834,Croatia,191,570,570,582,570,1 357,1 438,1 482,1 621
450,Sub-Saharan Africa,,,1834,Greece,300,5 943,4 387,3 897,3 718,3 267,2 487,1 824,1 802
451,Sub-Saharan Africa,,,1834,Italy,380,13 667,11 501,11 633,11 886,11 328,9 709,8 097,8 226
452,Sub-Saharan Africa,,,1834,Malta,470,266,219,181,172,174,175,177,174
453,Sub-Saharan Africa,,,1834,Portugal,620,35 985,28 067,31 675,31 952,30 775,26 697,22 661,20 082
454,Sub-Saharan Africa,,,1834,Serbia*,688,1 515,1 389,1 086,858,621,508,446,443
455,Sub-Saharan Africa,,,1834,Slovenia,705,15,42,66,52,50,71,69,71
456,Sub-Saharan Africa,,,1834,Spain*,724,2 201,2 050,2 148,2 756,3 585,3 945,4 021,4 123
457,Sub-Saharan Africa,,,1834,Western Europe,926,188 392,190 917,202 438,211 063,222 053,229 977,236 908,246 763
458,Sub-Saharan Africa,,,1834,Austria,40,3 965,3 503,3 226,2 999,2 952,2 598,2 272,2 284
459,Sub-Saharan Africa,,,1834,Belgium,56,5 610,4 883,4 862,4 810,4 684,4 577,4 402,4 516
460,Sub-Saharan Africa,,,1834,France*,250,108 016,123 365,142 101,153 982,164 182,177 763,190 570,202 481
461,Sub-Saharan Africa,,,1834,Germany,276,43 154,36 509,37 695,35 450,33 611,29 979,26 821,24 397
462,Sub-Saharan Africa,,,1834,Liechtenstein,438,0..,0..,0..,0..,0..,4,2,2
463,Sub-Saharan Africa,,,1834,Luxembourg,442,69,69,68,52,47,46,47,50
464,Sub-Saharan Africa,,,1834,Netherlands*,528,23 041,18 658,12 410,11 355,11 647,8 525,5 793,5 749
465,Sub-Saharan Africa,,,1834,Switzerland,756,4 537,3 930,2 076,2 415,4 930,6 485,7 001,7 284
466,Sub-Saharan Africa,,,1834,LATIN AMERICA AND THE CARIBBEAN,904,7 358,7 705,7 365,7 463,13 641,22 594,23 815,25 119
467,Sub-Saharan Africa,,,1834,Caribbean,915,2 389,2 401,2 638,2 635,6 752,12 085,13 035,13 912
468,Sub-Saharan Africa,,,1834,Antigua and Barbuda,28,693,662,616,487,469,4 911,4 766,4 654
469,Sub-Saharan Africa,,,1834,Bahamas,44,74,70,67,52,50,61,61,64
470,Sub-Saharan Africa,,,1834,Barbados,52,0..,0..,0..,0..,0..,11,9,9
471,Sub-Saharan Africa,,,1834,British Virgin Islands*,92,12,12,13,44,526,817,1 413,1 922
472,Sub-Saharan Africa,,,1834,Cuba,192,1 578,1 615,1 891,1 984,3 630,3 617,3 545,3 529
473,Sub-Saharan Africa,,,1834,Dominica,212,0..,0..,0..,0..,0..,13,11,11
474,Sub-Saharan Africa,,,1834,Dominican Republic,214,0..,0..,0..,0..,0..,2,0..,0..
475,Sub-Saharan Africa,,,1834,Grenada,308,0..,0..,0..,0..,300,369,431,484
476,Sub-Saharan Africa,,,1834,Guadeloupe*,312,0..,0..,0..,0..,760,935,1 096,1 230
477,Sub-Saharan Africa,,,1834,Haiti,332,0..,0..,0..,0..,0..,25,22,21
478,Sub-Saharan Africa,,,1834,Martinique*,474,12,12,12,14,38,103,270,415
479,Sub-Saharan Africa,,,1834,Saint Vincent and the Grenadines,670,0..,0..,0..,0..,0..,30,27,26
480,Sub-Saharan Africa,,,1834,Turks and Caicos Islands*,796,0..,0..,0..,0..,536,659,771,865
481,Sub-Saharan Africa,,,1834,United States Virgin Islands*,850,20,30,39,54,443,532,613,682
482,Sub-Saharan Africa,,,1834,Central America,916,285,720,204,132,156,619,638,652
483,Sub-Saharan Africa,,,1834,Belize,84,0..,0..,0..,0..,0..,2,0..,0..
484,Sub-Saharan Africa,,,1834,Costa Rica,188,0..,0..,0..,0..,0..,118,112,108
485,Sub-Saharan Africa,,,1834,El Salvador,222,0..,0..,0..,0..,0..,4,2,2
486,Sub-Saharan Africa,,,1834,Honduras,340,0..,0..,0..,0..,0..,298,285,276
487,Sub-Saharan Africa,,,1834,Mexico,484,285,720,204,132,156,192,236,263
488,Sub-Saharan Africa,,,1834,Nicaragua,558,0..,0..,0..,0..,0..,5,3,3
489,Sub-Saharan Africa,,,1834,South America,931,4 684,4 584,4 523,4 696,6 733,9 890,10 142,10 555
490,Sub-Saharan Africa,,,1834,Argentina,32,1 083,989,1 085,1 092,1 034,1 105,1 044,1 041
491,Sub-Saharan Africa,,,1834,Bolivia (Plurinational State of),68,0..,0..,0..,0..,0..,5,3,3
492,Sub-Saharan Africa,,,1834,Brazil,76,2 672,2 755,2 744,2 884,3 180,3 120,3 024,3 097
493,Sub-Saharan Africa,,,1834,Chile,152,469,441,363,323,1 555,1 843,2 100,2 320
494,Sub-Saharan Africa,,,1834,Colombia,170,200,202,122,114,136,2 786,2 715,2 656
495,Sub-Saharan Africa,,,1834,Ecuador,218,0..,0..,0..,0..,0..,2,0..,0..
496,Sub-Saharan Africa,,,1834,Guyana,328,12,12,12,13,33,82,202,303
497,Sub-Saharan Africa,,,1834,Peru,604,4,4,4,4,3,3,2,2
498,Sub-Saharan Africa,,,1834,Uruguay,858,0..,0..,0..,0..,407,501,585,657
499,Sub-Saharan Africa,,,1834,Venezuela (Bolivarian Republic of),862,244,181,193,266,385,443,467,476
500,Sub-Saharan Africa,,,1834,NORTHERN AMERICA,905,19 232,19 136,19 772,20 624,20 575,22 039,23 857,25 780
501,Sub-Saharan Africa,,,1834,Canada,124,3 957,3 990,4 316,4 516,4 339,4 363,4 410,4 601
502,Sub-Saharan Africa,,,1834,United States of America*,840,15 275,15 146,15 456,16 108,16 236,17 676,19 447,21 179
503,Sub-Saharan Africa,,,1834,OCEANIA,909,7 372,6 541,5 865,5 706,6 582,7 855,8 424,9 119
504,Sub-Saharan Africa,,,1834,Australia/New Zealand,927,7 182,6 393,5 710,5 487,5 611,5 444,5 408,5 566
505,Sub-Saharan Africa,,,1834,Australia*,36,5 541,4 970,4 472,4 198,4 170,4 129,4 296,4 464
506,Sub-Saharan Africa,,,1834,New Zealand*,554,1 641,1 423,1 238,1 289,1 441,1 315,1 112,1 102
507,Sub-Saharan Africa,,,1834,Melanesia,928,12,12,12,8,22,90,176,255
508,Sub-Saharan Africa,,,1834,Fiji,242,0..,0..,0..,0..,0..,3,1,1
509,Sub-Saharan Africa,,,1834,Papua New Guinea,598,0..,0..,0..,0..,0..,16,14,14
510,Sub-Saharan Africa,,,1834,Solomon Islands,90,0..,0..,0..,0..,0..,12,10,10
511,Sub-Saharan Africa,,,1834,Vanuatu,548,12,12,12,8,22,59,151,230
512,Sub-Saharan Africa,,,1834,Micronesia,954,0..,0..,0..,0..,0..,39,29,28
513,Sub-Saharan Africa,,,1834,Kiribati,296,0..,0..,0..,0..,0..,3,1,1
514,Sub-Saharan Africa,,,1834,Marshall Islands,584,0..,0..,0..,0..,0..,6,4,4
515,Sub-Saharan Africa,,,1834,Micronesia (Fed. States of),583,0..,0..,0..,0..,0..,3,1,1
516,Sub-Saharan Africa,,,1834,Nauru,520,0..,0..,0..,0..,0..,18,16,15
517,Sub-Saharan Africa,,,1834,Palau,585,0..,0..,0..,0..,0..,9,7,7
518,Sub-Saharan Africa,,,1834,Polynesia*,957,178,136,143,211,949,2 282,2 811,3 270
519,Sub-Saharan Africa,,,1834,American Samoa*,16,12,12,12,30,408,638,1 138,1 573
520,Sub-Saharan Africa,,,1834,French Polynesia*,258,0..,0..,0..,0..,278,341,398,447
521,Sub-Saharan Africa,,,1834,Samoa,882,0..,0..,0..,0..,0..,28,25,24
522,Sub-Saharan Africa,,,1834,Tonga,776,0..,0..,0..,0..,0..,972,932,901
523,Sub-Saharan Africa,,,1834,Tuvalu,798,0..,0..,0..,0..,0..,1,0..,0..
524,Sub-Saharan Africa,,,1834,Wallis and Futuna Islands*,876,166,124,131,181,263,302,318,325
525,Sub-Saharan Africa,,,1834,Others,2003,2 011 757,1 677 406,1 646 151,1 893 415,1 938 387,2 631 156,1 916 832,2 001 834
526,Northern Africa and Western Asia,,,1833,World,900,16 863 681,18 573 252,20 033 534,23 016 410,32 028 416,44 083 778,48 992 329,54 085 710
527,Northern Africa and Western Asia,,,1833,Sub-Saharan Africa,1834,1 612 331,1 350 291,1 186 044,998 950,1 343 485,1 607 668,2 490 892,3 563 313
528,Northern Africa and Western Asia,,,1833,Northern Africa and Western Asia,1833,6 066 251,7 398 700,8 135 107,9 561 953,13 117 580,18 950 596,21 896 844,23 216 909
529,Northern Africa and Western Asia,,,1833,Central and Southern Asia,1831,4 058 887,4 692 035,5 311 977,7 044 113,11 077 649,16 350 483,17 436 791,19 532 948
530,Northern Africa and Western Asia,,,1833,Eastern and South-Eastern Asia,1832,1 140 797,1 252 171,1 469 038,1 628 407,2 055 947,2 498 211,2 567 990,2 803 636
